아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
tZqt69WQ,,24.11.13,오트밀,FREE,정사이즈예요,보통이에요,화면과 비슷해요,,,,"편하게 입기 좋아요!!
핏도 예쁘고 
색감도 어느 톤에나
잘 어울려요ㅎㅎㅎ
청바지랑 입으면 찰떡🤍🤍🤍
배송도 빠르고 잘 입고 다닙니당"
tn73**,상위 1%,24.11.12,오트밀,FREE,생각보다 커요,아주 만족해요,화면과 비슷해요,155cm,52kg,상의 55,"생각보다 널널하고 너무 얇지 않아서 좋아요
위에 겉옷 걸치면되서 딱 좋은거 같고
엉덩이를 가려줘서 너무 좋네용 ㅎㅎ
색깔도 오트밀색이라 맘에 들어요"
4OCVfjbZ,상위 15%,24.11.11,그레이,FREE,정사이즈예요,보통이에요,화면과 비슷해요,168cm,60kg,상의 66,"소재가좋네요 안감기모가 
있었으면 더좋았을텐데
편하게 데일리로 입기
편하네요
건조기돌리니 조금 줄어드니
사용 비추해요
만족합니다 ☺️"
XFkawMLJ,상위 25%,24.11.10,네이비,FREE,정사이즈예요,보통이에요,화면과 비슷해요,,,,길이는 엉덩이 아주 조금 가리는 길이이고 전체적으로 어깨가 넓어보이지 않아서 좋아요! 근데 딱 한번 입고 빨래했는데 아래쪽이 쭈글쭈글해졌어요.. 빨래망에 꼭 넣고 빨으시길!
9o9QyrAa,,24.11.06,오트밀,FREE,생각보다 커요,보통이에요,화면과 비슷해요,,,,생각보다 팔이 기네요. 가성비는 좋은듯 해요. 시보리 짱짱하고 캐주얼하게 입을때 막 입기 좋아요. 품이 넉넉해서 편하게 입을수 있어요
cHDyLDiy,,24.11.06,네이비,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,48kg,상의 55,레이어드해서 편안하게 입으려고 샀는데 생각했던거 그대로입니다 ㅠ 가오리핏이 저렴해 보이지 않고 귀여워요! 오트밀이 인기가 많던데 네이비 사길 정말 잘했다..💛
xS3lrd5D,상위 25%,24.11.06,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"아주 만족스러워요
이 가격에 이 퀄리티라니~
오트밀 색으로 샀는데 은은하고 예뻐요
프린팅이 아니라 자수라서 싼티도 안나고
잘 입을게요 빠른 배송 감사합니다"
JaO29rAC,상위 30%,24.11.02,네이비,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,160cm,60kg,상의 55,"핏이 너무 예뻐요
어깨라인도 예쁩니다
약간 길이가 짧아요 엉덩이를 덮진 않아요 꼬리뼈에서 잘리는 길이?
실밥이 약간 빠져요
빼고는 맘에듭니다"
YVGreQ8w,상위 30%,24.11.01,그레이,FREE,정사이즈예요,보통이에요,화면과 비슷해요,,,,"맨투맨 저렴하게 구입해서 편하게 입으려고 구입한건데 이 가격에 생각보다 면 탄탄하네요
만족하고 잘입을 것 같아요!
오트밀 그레이 예뻐요"
YVGreQ8w,상위 30%,24.11.01,오트밀,FREE,정사이즈예요,보통이에요,화면과 비슷해요,,,,"맨투맨 저렴하게 구입해서 편하게 입으려고 구입한건데 이 가격에 생각보다 면 탄탄하네요
만족하고 잘입을 것 같아요!
오트밀 그레이 예뻐요"
H1zCfV6V,상위 25%,24.11.01,오트밀,FREE,정사이즈예요,보통이에요,화면과 비슷해요,158cm,47kg,상의 44,이제 추워지면서 가을 겨울 옷 사려구 찾아보다가 심플하게 자주 입으려구 샀는데 너무 맘에 들어요 ㅎㅎ 사이즈도 딱 정당하구 안에 흰색 레이어드해서 입으면 좋을 것 같아욤
rbfl******,,24.10.30,그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"색상 화면 그대로이고, 핏이 마음에 들어요
164cm 기준 엉덩이 반 이상 덮고, 팔 길이 긴 편이에요
어깨선이 없어 넓은 어깨 보완 가능해요"
